                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.4092,                 1.4036,                 1.9405,                0.87688,                 0.4375,                0.61086,                0.35461,                 1.6731,                 2.2747,                 2.5139,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.3344,                 1.3476,                 1.9584,                0.81181,                0.54061,                0.62604,                0.37472,                 1.6024,                 2.1949,                 2.3908,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.3323,                 1.4335,                 1.9364,                0.61632,                  0.625,                0.60259,                0.36942,                 1.6453,                 2.3511,                 2.4467,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.2506,                 1.3219,                 1.8785,                0.74271,                  0.625,                 0.6364,                0.36171,                 1.5756,                 2.5034,                 2.3963,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.1883,                 1.3319,                 1.7837,                0.94867,                 0.4375,                0.59779,                0.35751,                 1.5831,                 1.9286,                 2.5576,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2291,                 1.2869,                 1.8616,                0.88813,                 0.4966,                0.57101,                0.34914,                 1.6831,                  2.354,                 2.5108,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.3209,                 1.3912,                 1.8998,                0.76831,                  0.622,                0.57799,                0.34188,                 1.6804,                 2.2282,                  2.492,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.2118,                 1.2436,                 1.7785,                0.88042,                 0.5625,                0.61765,                0.43247,                  1.456,                 2.0694,                  2.243,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.2433,                 1.2787,                 1.8657,                0.66052,                0.60887,                0.60489,                 0.3656,                 1.5561,                 2.1576,                 2.3656,               0.000911,               0.000911,               0.000911
                    112,                 1.2399,                 1.1644,                 1.8679,                0.95314,                 0.4375,                0.56968,                0.33483,                 1.6308,                 2.4847,                 2.3981,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.2242,                 1.1508,                 1.8019,                0.64451,                 0.6875,                0.63595,                0.37503,                 1.4788,                 2.0759,                 2.2165,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.2398,                 1.2909,                 1.8522,                0.76793,                 0.6875,                0.74672,                0.41068,                 1.5999,                 1.8528,                 2.3753,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.2511,                 1.2095,                 1.8529,                      1,                0.18707,                0.27523,                0.12441,                 2.1061,                 3.1156,                 3.2822,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.3223,                 1.3598,                 1.8943,                0.66162,                    0.5,                0.53333,                0.28439,                 1.9132,                 2.2112,                 2.8087,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.2819,                 1.2894,                 1.9217,                      1,                0.55881,                0.72093,                 0.3965,                  1.449,                 1.8701,                 2.2235,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.0946,                 1.1049,                 1.7367,                 0.6982,                    0.5,                0.54315,                 0.3282,                 1.4907,                 2.2897,                 2.2696,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.2562,                 1.1434,                 1.8433,                0.82495,                0.59041,                 0.6527,                0.35615,                 1.5637,                 2.2719,                 2.3648,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.2574,                 1.2702,                 1.8668,                0.97602,                  0.625,                0.68948,                0.36987,                 1.5635,                 1.8813,                 2.3883,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.2119,                 1.0706,                 1.7649,                0.98151,                 0.4375,                0.51458,                0.32625,                 1.5894,                 2.7164,                 2.2795,               0.000812,               0.000812,               0.000812
                    122,                 1.2759,                 1.2125,                 1.8389,                0.99301,                 0.4375,                0.48121,                0.29368,                 1.6353,                 3.0417,                 2.4283,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.2117,                 1.1485,                  1.835,                0.85945,                    0.5,                 0.6108,                0.44513,                 1.3793,                 1.8705,                 2.1556,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1245,                 1.0595,                 1.7104,                0.74803,                0.55708,                0.61086,                0.36155,                 1.5947,                 2.2597,                 2.4274,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.1294,                 1.1722,                  1.775,                0.98768,                 0.5625,                0.69692,                0.47663,                 1.5319,                 1.9638,                 2.3672,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.2303,                 1.2252,                 1.8033,                 0.9935,                 0.5625,                0.68153,                0.41004,                 1.8437,                 2.1467,                 2.7859,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1358,                 1.1403,                 1.7543,                0.99458,                  0.625,                0.74489,                0.44441,                   1.73,                 1.9474,                 2.5791,              0.0007526,              0.0007526,              0.0007526
                    128,                  1.078,                 1.0305,                 1.7237,                0.93563,                 0.5625,                0.68899,                0.41483,                 1.5496,                 1.7822,                 2.3182,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.1638,                 1.1725,                 1.7532,                      1,                0.62105,                0.68329,                0.40699,                 1.6636,                  2.048,                 2.4051,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.1663,                 1.0889,                 1.7491,                0.90144,                 0.6875,                0.69284,                0.41909,                 1.6216,                 2.3169,                 2.4124,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.0798,                 1.1065,                 1.7322,                0.82864,                0.60566,                0.62381,                0.38396,                 1.4895,                 2.2137,                 2.3291,               0.000713,               0.000713,               0.000713
                    132,                 1.1403,                 1.1113,                 1.7083,                0.98044,                    0.5,                0.61384,                0.38735,                  1.566,                  2.231,                 2.3775,              0.0007031,              0.0007031,              0.0007031
                    133,                  1.196,                 1.1319,                 1.8184,                0.89769,                 0.6875,                0.72205,                0.40407,                 1.7409,                 1.9241,                 2.5597,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.0758,                 1.1164,                 1.7206,                      1,                0.67901,                0.73802,                0.47663,                  1.452,                  2.017,                 2.3208,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.1249,                 1.0482,                 1.7703,                0.81761,                 0.5625,                0.69052,                0.40339,                 1.6151,                 2.2366,                 2.5146,              0.0006734,              0.0006734,              0.0006734
                    136,                0.99411,                 1.0432,                 1.6336,                0.98335,                 0.6875,                0.74506,                0.43556,                  1.575,                 2.0169,                 2.4129,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.1105,                 1.0597,                 1.7219,                0.90042,                 0.6875,                0.73204,                0.46903,                 1.4814,                 1.8048,                 2.2006,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1655,                 1.0863,                 1.7952,                0.72916,                0.67382,                0.69136,                 0.4405,                 1.5004,                 2.0453,                 2.2195,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.1505,                 1.0992,                 1.7475,                0.77113,                0.63221,                0.69613,                0.40484,                 1.7432,                 1.9657,                 2.5919,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.1497,                 1.0634,                 1.7364,                0.95815,                  0.625,                 0.7216,                0.46914,                 1.3632,                 1.7984,                  2.159,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.0963,                 1.0232,                 1.7102,                0.90853,                 0.6875,                0.71091,                0.43808,                 1.4827,                 2.1086,                 2.2871,               0.000614,               0.000614,               0.000614
                    142,                 1.1448,                 1.0785,                 1.7612,                0.83368,                 0.6875,                0.71242,                0.45684,                 1.4376,                 2.0938,                 2.1467,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.0929,                0.99634,                 1.6782,                0.84338,                 0.6875,                0.68644,                0.44755,                 1.4717,                 1.9983,                 2.2249,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0388,                0.98752,                 1.6487,                0.89698,                  0.625,                0.70668,                0.45476,                 1.4558,                 1.9637,                 2.2521,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.0231,                 1.0127,                 1.6136,                0.97152,                  0.625,                0.70413,                0.46713,                 1.5198,                 1.8446,                 2.2716,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.0615,                 1.0051,                  1.631,                0.83673,                 0.6875,                0.68355,                0.48185,                 1.4561,                 1.9848,                 2.3139,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.0599,                 1.0044,                 1.6745,                      1,                0.61796,                 0.6784,                0.46566,                 1.4222,                 1.8181,                 2.2454,              0.0005546,              0.0005546,              0.0005546
