                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                  1.299,                 1.0984,                 1.9433,                 0.6055,                 0.6875,                0.60814,                0.37673,                 1.5059,                 2.1894,                 2.1751,             0.00070407,             0.00070407,             0.00070407
                    122,                 1.3289,                 1.0706,                 1.9254,                0.79228,                 0.5625,                0.60628,                0.37167,                  1.542,                 2.2215,                 2.2092,             0.00068932,             0.00068932,             0.00068932
                    123,                 1.3666,                 1.1091,                 1.9825,                0.89952,                0.55982,                0.65461,                0.40501,                 1.5705,                 2.1532,                 2.2051,             0.00067465,             0.00067465,             0.00067465
                    124,                 1.4028,                  1.104,                 1.9615,                0.58972,                 0.8125,                0.69498,                0.44321,                 1.5927,                 2.1341,                 2.2135,             0.00066006,             0.00066006,             0.00066006
                    125,                 1.3853,                 1.0905,                 1.9629,                0.82657,                 0.5625,                0.66269,                0.43477,                 1.5382,                 2.1616,                 2.1955,             0.00064556,             0.00064556,             0.00064556
                    126,                 1.3644,                 1.1093,                 1.9969,                0.88804,                    0.5,                0.60323,                0.38813,                 1.5609,                 2.2895,                 2.2066,             0.00063114,             0.00063114,             0.00063114
                    127,                 1.2954,                 1.0798,                 1.9448,                0.79799,                0.49435,                0.55509,                0.34761,                 1.6548,                 2.2816,                 2.2541,             0.00061682,             0.00061682,             0.00061682
                    128,                 1.3056,                 1.1015,                 1.8827,                0.65594,                  0.625,                0.59867,                0.37685,                 1.5897,                 2.1584,                 2.2203,              0.0006026,              0.0006026,              0.0006026
                    129,                  1.258,                 1.0753,                 1.8815,                0.70072,                   0.75,                0.68566,                0.41802,                 1.5405,                 2.0722,                 2.2487,             0.00058848,             0.00058848,             0.00058848
                    130,                 1.2909,                 1.0721,                 1.9197,                0.60285,                 0.6875,                0.63793,                0.42948,                 1.5102,                 2.0376,                 2.1933,             0.00057446,             0.00057446,             0.00057446
                    131,                 1.3058,                  1.068,                 1.9156,                0.58099,                  0.625,                0.62184,                0.42803,                 1.4877,                 2.0395,                 2.1463,             0.00056055,             0.00056055,             0.00056055
                    132,                 1.2607,                   1.04,                 1.8789,                0.66408,                   0.75,                0.64861,                0.42217,                   1.51,                 2.1588,                 2.1626,             0.00054675,             0.00054675,             0.00054675
                    133,                 1.2702,                 1.0211,                 1.8952,                0.74158,                   0.75,                0.69442,                0.45033,                  1.579,                 2.0686,                 2.2503,             0.00053306,             0.00053306,             0.00053306
                    134,                 1.2467,                 1.0526,                 1.9135,                0.83765,                   0.75,                0.73263,                0.46226,                 1.5401,                 2.0204,                 2.1794,              0.0005195,              0.0005195,              0.0005195
                    135,                 1.2244,                 1.0006,                 1.8434,                0.83076,                 0.6875,                0.71453,                0.45808,                 1.4637,                 2.0987,                 2.0829,             0.00050605,             0.00050605,             0.00050605
                    136,                 1.2905,                 1.0432,                 1.8964,                0.69397,                 0.7095,                0.71184,                0.49025,                 1.4585,                  2.003,                 2.1098,             0.00049273,             0.00049273,             0.00049273
                    137,                 1.1568,                 0.9189,                 1.8024,                0.67968,                0.66403,                0.70071,                0.46099,                  1.486,                 2.0787,                 2.1674,             0.00047953,             0.00047953,             0.00047953
                    138,                 1.2708,                 1.0025,                 1.8766,                0.92216,                 0.6875,                0.75966,                0.50408,                 1.4826,                 2.0206,                 2.1887,             0.00046647,             0.00046647,             0.00046647
                    139,                  1.318,                0.98309,                 1.9384,                0.85906,                 0.6875,                0.77735,                 0.5398,                 1.3519,                 1.8734,                 2.0291,             0.00045354,             0.00045354,             0.00045354
                    140,                 1.2827,                0.97796,                  1.912,                0.86659,                 0.6875,                0.77775,                0.51941,                 1.4024,                 1.7565,                  2.068,             0.00044074,             0.00044074,             0.00044074
                    141,                 1.2278,                0.95998,                  1.887,                0.81725,                  0.625,                0.74903,                0.51243,                 1.4029,                 1.8474,                 2.0597,             0.00042809,             0.00042809,             0.00042809
                    142,                 1.2119,                0.94997,                 1.7773,                0.91416,                0.66678,                0.73206,                0.49894,                 1.4267,                 1.9464,                 2.0798,             0.00041558,             0.00041558,             0.00041558
                    143,                 1.1884,                0.99257,                 1.8023,                0.81609,                 0.6875,                0.74328,                0.50661,                 1.4478,                 1.9282,                 2.0871,             0.00040322,             0.00040322,             0.00040322
                    144,                 1.1718,                 0.9036,                   1.79,                0.76061,                0.79509,                0.74831,                0.50556,                 1.4933,                  1.906,                  2.122,             0.00039101,             0.00039101,             0.00039101
                    145,                 1.2463,                0.97505,                 1.8558,                0.73045,                   0.75,                0.72175,                0.49247,                 1.5181,                 1.9328,                 2.1326,             0.00037895,             0.00037895,             0.00037895
                    146,                 1.1971,                0.90522,                 1.8009,                0.78064,                0.66825,                0.71131,                 0.4412,                 1.6096,                 2.1046,                 2.2147,             0.00036705,             0.00036705,             0.00036705
                    147,                 1.1882,                0.89928,                 1.8702,                 0.8405,                0.65994,                0.70734,                0.42646,                 1.6022,                 1.9622,                  2.214,              0.0003553,              0.0003553,              0.0003553
